1, 1, 65, 100.
2, 2, 23, 169.
3, 3, 52, 360.
4, 4, 63, 155.
5, 5, 74, 348.
6, 6, 68, 84.
7, 7, 62, 158.
8, 8, 97, 125.
9, 9, 21, 378.
10, 10, 93, 358.
11, 11, 95, 465.
12, 12, 68, 40.
13, 13, 78, 309.
14, 14, 55, 408.
15, 15, 100, 250.
16, 16, 76, 4.
17, 17, 44, 276.
18, 18, 93, 444.
19, 19, 34, 203.
20, 20, 50, 365.
21, 21, 23, 361.
22, 22, 72, 70.
23, 23, 38, 50.
24, 24, 23, 281.
25, 25, 78, 472.
26, 26, 17, 185.
27, 27, 16, 457.
28, 28, 79, 453.
29, 29, 98, 480.
30, 30, 70, 290.
31, 31, 11, 186.
32, 32, 41, 317.
33, 33, 37, 266.
34, 34, 71, 132.
35, 35, 4, 188.
36, 36, 44, 488.
37, 37, 80, 5.
38, 38, 81, 485.
39, 39, 94, 309.
40, 40, 43, 25.
41, 41, 31, 465.
42, 42, 57, 279.
43, 43, 89, 253.
44, 44, 41, 378.
45, 45, 43, 39.
46, 46, 54, 14.
47, 47, 52, 424.
48, 48, 7, 306.
49, 49, 44, 65.
50, 50, 10, 284.
51, 51, 43, 28.
52, 52, 70, 325.
53, 53, 25, 293.
54, 54, 29, 444.
55, 55, 8, 232.
56, 56, 24, 106.
57, 57, 58, 314.
58, 58, 72, 268.
59, 59, 64, 213.
60, 60, 50, 163.
61, 61, 83, 129.
62, 62, 31, 141.
63, 63, 65, 474.
64, 64, 89, 300.
65, 65, 57, 88.
66, 66, 58, 385.
67, 67, 4, 184.
68, 68, 39, 30.
69, 69, 9, 354.
70, 70, 95, 66.
71, 71, 69, 181.
72, 72, 8, 472.
73, 73, 39, 473.
74, 74, 91, 175.
75, 75, 91, 336.
76, 76, 17, 146.
77, 77, 57, 167.
78, 78, 25, 419.
79, 79, 39, 24.
80, 80, 91, 333.
81, 81, 55, 204.
82, 82, 96, 67.
83, 83, 69, 117.
84, 84, 69, 258.
85, 85, 30, 412.
86, 86, 68, 413.
87, 87, 53, 460.
88, 88, 40, 418.
89, 89, 88, 453.
90, 90, 91, 321.
91, 91, 69, 138.
92, 92, 38, 86.
93, 93, 2, 294.
94, 94, 54, 108.
95, 95, 5, 160.
96, 96, 57, 363.
97, 97, 8, 236.
98, 98, 21, 392.
99, 99, 60, 486.
100, 100, 15, 452.
101, 101, 4, 81.
102, 102, 68, 224.
103, 103, 60, 404.
104, 104, 80, 135.
105, 105, 74, 347.
106, 106, 19, 104.
107, 107, 38, 408.
108, 108, 49, 26.
109, 109, 76, 178.
110, 110, 64, 384.
111, 111, 74, 116.
112, 112, 82, 34.
113, 113, 42, 153.
114, 114, 23, 68.
115, 115, 32, 122.
116, 116, 7, 200.
117, 117, 29, 315.
118, 118, 80, 392.
119, 119, 29, 28.
120, 120, 63, 12.
121, 121, 48, 314.
122, 122, 91, 163.
123, 123, 31, 469.
124, 124, 41, 435.
125, 125, 35, 301.
126, 126, 8, 236.
127, 127, 8, 321.
128, 128, 97, 29.
129, 129, 57, 460.
130, 130, 17, 238.
131, 131, 37, 399.
132, 132, 38, 135.
133, 133, 51, 455.
134, 134, 78, 449.
135, 135, 49, 282.
136, 136, 9, 178.
137, 137, 50, 472.
138, 138, 45, 481.
139, 139, 39, 429.
140, 140, 74, 346.
141, 141, 65, 295.
142, 142, 7, 481.
143, 143, 79, 449.
144, 144, 99, 95.
145, 145, 99, 334.
146, 146, 94, 6.
147, 147, 81, 348.
148, 148, 82, 144.
149, 149, 36, 204.
150, 150, 92, 26.
151, 151, 31, 427.
152, 152, 42, 330.
153, 153, 61, 222.
154, 154, 98, 48.
155, 155, 95, 158.
156, 156, 36, 360.
157, 157, 23, 203.
158, 158, 21, 311.
159, 159, 44, 480.
160, 160, 100, 194.
161, 161, 88, 386.
162, 162, 50, 421.
163, 163, 1, 203.
164, 164, 77, 312.
165, 165, 42, 39.
166, 166, 33, 364.
167, 167, 99, 167.
168, 168, 65, 332.
169, 169, 71, 359.
170, 170, 47, 220.
171, 171, 46, 380.
172, 172, 23, 469.
173, 173, 17, 47.
174, 174, 96, 75.
175, 175, 98, 260.
176, 176, 56, 357.
177, 177, 60, 301.
178, 178, 29, 227.
179, 179, 67, 453.
180, 180, 55, 267.
181, 181, 75, 467.
182, 182, 28, 191.
183, 183, 49, 336.
184, 184, 74, 136.
185, 185, 92, 400.
186, 186, 92, 462.
187, 187, 78, 377.
188, 188, 49, 449.
189, 189, 74, 83.
190, 190, 30, 265.
191, 191, 90, 171.
192, 192, 63, 385.
193, 193, 67, 148.
194, 194, 38, 182.
195, 195, 19, 307.
196, 196, 31, 87.
197, 197, 65, 247.
198, 198, 24, 430.
199, 199, 86, 382.
200, 200, 93, 148.
201, 201, 46, 365.
202, 202, 65, 243.
203, 203, 22, 306.
204, 204, 58, 406.
205, 205, 63, 102.
206, 206, 76, 186.
207, 207, 71, 439.
208, 208, 80, 283.
209, 209, 67, 346.
210, 210, 93, 212.
211, 211, 30, 190.
